Date,Open,High,Low,Close,Adj Close,Volume
2010-07-16,0.049510,0.049510,0.049510,0.049510,0.049510,0
2010-07-17,0.049510,0.085850,0.059410,0.085840,0.085840,5
2010-07-18,0.085840,0.093070,0.077230,0.080800,0.080800,49
2010-07-19,0.080800,0.081810,0.074260,0.074740,0.074740,20
2010-07-20,0.074740,0.079210,0.066340,0.079210,0.079210,42
2010-07-21,0.079210,0.081810,0.050500,0.050500,0.050500,129
2010-07-22,0.050500,0.067670,0.050500,0.062620,0.062620,141
2010-07-23,0.062620,0.061610,0.050490,0.054540,0.054540,26
2010-07-24,0.054540,0.059410,0.050500,0.050500,0.050500,85
2010-07-25,0.050500,0.056000,0.050000,0.056000,0.056000,46
2010-07-26,0.056000,0.060500,0.053000,0.060000,0.060000,196
2010-07-27,0.060000,0.062000,0.054000,0.058900,0.058900,255
2010-07-28,0.058900,0.069900,0.057100,0.069900,0.069900,528
2010-07-29,0.069900,0.069800,0.058200,0.062700,0.062700,198
2010-07-30,0.062700,0.068890,0.056000,0.067850,0.067850,243
2010-07-31,0.067850,0.065000,0.060000,0.061100,0.061100,162
2010-08-01,0.061100,0.063300,0.060000,0.060000,0.060000,221
2010-08-02,0.060000,0.065000,0.059000,0.060000,0.060000,606
2010-08-03,0.060000,0.062310,0.057000,0.057000,0.057000,210
2010-08-04,0.057000,0.061000,0.058000,0.061000,0.061000,303
2010-08-05,0.061000,0.062400,0.060700,0.062300,0.062300,85
2010-08-06,0.062300,0.062200,0.059000,0.059000,0.059000,157
2010-08-07,0.059000,0.061000,0.059000,0.060900,0.060900,132
2010-08-08,0.060900,0.073500,0.059300,0.071000,0.071000,886
2010-08-09,0.071000,0.070900,0.066510,0.070000,0.070000,88
2010-08-10,0.070000,0.075410,0.060000,0.067000,0.067000,1015
2010-08-11,0.067000,0.070000,0.061410,0.070000,0.070000,134
2010-08-12,0.070000,0.068000,0.064500,0.064500,0.064500,233
2010-08-13,0.064500,0.069500,0.064500,0.067000,0.067000,295
2010-08-14,0.067000,0.067000,0.065000,0.065290,0.065290,294
2010-08-15,0.065290,0.067900,0.062000,0.065500,0.065500,696
2010-08-16,0.065500,0.076900,0.062430,0.070000,0.070000,915
2010-08-17,0.070000,0.073300,0.067000,0.068000,0.068000,203
2010-08-18,0.068000,0.067900,0.066700,0.066700,0.066700,50
2010-08-19,0.066700,0.066700,0.065000,0.065500,0.065500,276
2010-08-20,0.065500,0.066900,0.064400,0.066400,0.066400,688
2010-08-21,0.066400,0.066400,0.061200,0.066000,0.066000,1183
2010-08-22,0.066000,0.066890,0.063000,0.064910,0.064910,281
2010-08-23,0.064910,0.066500,0.064910,0.065000,0.065000,444
2010-08-24,0.065000,0.066500,0.064100,0.064800,0.064800,278
2010-08-25,0.064800,0.065800,0.064000,0.064000,0.064000,251
2010-08-26,0.064000,0.065000,0.063000,0.065000,0.065000,583
2010-08-27,0.065000,0.065000,0.064100,0.064100,0.064100,399
2010-08-28,0.064100,0.064800,0.064000,0.064000,0.064000,204
2010-08-29,0.064000,0.069000,0.032110,0.064970,0.064970,2135
2010-08-30,0.064970,0.064900,0.060000,0.060000,0.060000,933
2010-08-31,0.060000,0.062900,0.059610,0.062900,0.062900,436
2010-09-01,0.062900,0.063400,0.060100,0.063400,0.063400,498
2010-09-02,0.063400,0.063000,0.060850,0.060850,0.060850,54
2010-09-03,0.060850,0.062380,0.061200,0.062380,0.062380,202
2010-09-04,0.062380,0.064000,0.060500,0.061600,0.061600,527
2010-09-05,0.061600,0.062700,0.061600,0.061600,0.061600,56
2010-09-06,0.061600,0.062010,0.060300,0.061000,0.061000,212
2010-09-07,0.061000,0.062000,0.060990,0.062000,0.062000,143
2010-09-08,0.062000,0.062400,0.061090,0.061110,0.061110,107
2010-09-09,0.061110,0.061800,0.060140,0.061800,0.061800,301
2010-09-10,0.061800,0.065000,0.061900,0.063660,0.063660,491
2010-09-11,0.063660,0.062100,0.061500,0.061500,0.061500,48
2010-09-12,0.061500,0.064000,0.060700,0.062190,0.062190,632
2010-09-13,0.062190,0.175000,0.061000,0.061990,0.061990,876
2010-09-14,0.061990,0.062500,0.060400,0.060400,0.060400,223
2010-09-15,0.060400,0.061900,0.061800,0.061900,0.061900,45
2010-09-16,0.061900,0.060900,0.059000,0.059000,0.059000,438
